Titulo;Marca;Modelo;Versao;Ano_Fab;Ano_Mod;Quilometragem;Cambio;Portas;Tipo_Carroceria;Cor;Preco;Cidade;Vendedor;Atributos;Descricao;Link
CAOA CHERY TIGGO 5x 1.5 VVT TURBO iFLEX SPORT CVT;CAOA CHERY;TIGGO 5x;1.5 VVT TURBO iFLEX SPORT CVT;2023;2024.0;48715.0;Automática;4;Utilitário esportivo;Preto;114890.0;Florianópolis;RB Motors;Aceita troca, Todas as revisões feitas pela concessionária, Garantia de fábrica;GARANTIA DE FÁBRICA até 06/2026 !! Veículo com TODAS suas REVISÕES EM CONCESSIONÁRIA até 40.209 Km dia 05/05/2025.  Tem seu laudo cautelar APROVADO e conta com MANUAL + CHAVE RESERVA.  O modelo conta com rodas de liga leve, painel digital, central multimídia de 10,25 polegadas, ar condicionado digital dual zone, câmera de ré, sensores de estacionamento traseiro e bancos de couro com regulagem elétrica ao motorista. VALOR DO VEÍCULO PARA VENDA À VISTA. Se você estiver interessado em obter uma avaliação para o seu seminovo ou simular taxas especiais, nos contate pela plataformas online, WhatsApp (48) 99138-2650, @rbmotors.sc ou visitando uma de suas lojas físicas. Reservamo-nos no direito de corrigir possíveis erros de digitação e publicação.;https://www.webmotors.com.br/comprar/64065640
JEEP COMMANDER 1.3 T270 TURBO FLEX OVERLAND AT6;JEEP;COMMANDER;1.3 T270 TURBO FLEX OVERLAND AT6;2022;2022.0;59085.0;Automática;4;Utilitário esportivo;Preto;168890.0;Florianópolis;RB Motors;Aceita troca, Todas as revisões feitas pela concessionária;Veículo com TODAS suas REVISÕES EM CONCESSIONÁRIA até 48.905 Km dia 14/01/2025. Além de ter sido revisado no mês 12/2025. Tem seu laudo cautelar APROVADO e conta com MANUAL + CHAVE RESERVA. O modelo possui TETO SOLAR panorâmico, painel digital de 10,25 polegadas, sistema de entretenimento Uconnect com tela de 10,1 polegadas, bancos em couro com ajustes elétricos ao motorista, ar condicionado digital, volante multifuncional revestido em couro, com ajuste de altura e profundidade, controle de estabilidade e tração, assistente de partida em rampa, câmera de ré com sensores de estacionamento, monitoramento de ponto cego e assistente de permanência em faixa. VALOR DO VEÍCULO PARA VENDA À VISTA. Se você estiver interessado em obter uma avaliação para o seu seminovo ou simular taxas especiais, nos contate pela plataformas online, WhatsApp (48) 99138-2650, @rbmotors.sc ou visitando uma de suas lojas físicas. Reservamo-nos no direito de corrigir possíveis erros de digitação e publicação.;https://www.webmotors.com.br/comprar/64537328
NISSAN KICKS 1.6 16V FLEXSTART ADVANCE XTRONIC;NISSAN;KICKS;1.6 16V FLEXSTART ADVANCE XTRONIC;2023;2024.0;34839.0;Automática;4;Utilitário esportivo;Prata;114890.0;Florianópolis;RB Motors;Aceita troca, Todas as revisões feitas pela concessionária, Garantia de fábrica;GARANTIA DE FÁBRICA até 11/2026 !! Veículo com TODAS suas REVISÕES EM CONCESSIONÁRIA até  30.000 Km no mês 06/2025.  Tem seu laudo cautelar APROVADO e possui MANUAL + CHAVE RESERVA.  O modelo conta com bancos em couro, vidros elétricos, volante multifuncional, rodas de liga leve, central multimídia, chave presencial, sensor de estacionamento traseiro e câmera de ré.  VALOR DO VEÍCULO PARA VENDA À VISTA. Se você estiver interessado em obter uma avaliação para o seu seminovo ou simular taxas especiais, nos contate pela plataformas online, WhatsApp (48) 99138-2650, @rbmotors.sc ou visitando uma de suas lojas físicas. Reservamo-nos no direito de corrigir possíveis erros de digitação e publicação. ;https://www.webmotors.com.br/comprar/64371837
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;VOLKSWAGEN;NIVUS;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2022.0;43900.0;Automática;4;Utilitário esportivo;Preto;109900.0;Florianópolis;Goedert flash automoveis;Aceita troca, Único dono, Todas as revisões feitas pela concessionária;O Volkswagen Nivus Highline 1.0 2022 combina design moderno, tecnologia e desempenho eficiente. Equipado com motor turbo, oferece ótima dirigibilidade e conforto em qualquer trajeto. Seu interior sofisticado conta com central multimídia VW Play e diversos itens de segurança. O porta-malas de 415 litros garante espaço ideal para viagens e o dia a dia.;https://www.webmotors.com.br/comprar/63447496
BMW 320i 2.0 16V TURBO FLEX M SPORT AUTOMÁTICO;BMW;320i;2.0 16V TURBO FLEX M SPORT AUTOMÁTICO;2023;2023.0;18798.0;Automática;4;Sedã;Preto;279990.0;Florianópolis;AUTO DELAS;Aceita troca, Todas as revisões feitas pela concessionária;"BMW 320iA M Sport 2023 combina performance de alto nível com acabamento premium e dirigibilidade esportiva. Equipado com motor 2.0 Turbo Flex de 184 cv e torque de 30,6 kgfm, associado a câmbio automático de 8 marchas e tração traseira, garante aceleração rápida e condução dinâmica.    O interior oferece acabamento sofisticado, bancos em couro esportivos, volante multifuncional, painel digital, central de alta tecnologia e teto solar. No design externo, se destacam rodas de liga leve de aro 19”, detalhes da linha M Sport, faróis em LED e presença marcante nas ruas.    Um sedã premium completo, ideal para quem busca luxo, potência e performance em um só veículo.    Mais informações: 48 99939-0417    ""Carro em consignação"" - Visita mediante agendamento.    Observação, valor para pagamento sem troca, para troca, consulte um de nossos especialistas.    * Aceitamos seu usado como entrada, com a melhor avaliação do mercado.  * Trabalhamos com financiamento bancário.  * Temos a opção de parcelamento no cartão de Crédito em até 18x (consulte condições).    Compre seu carro com segurança, transparência com a melhor negociação!    Estamos localizados na Av. Marinheiro Max Schramm, 3805.  Jardim Atlântico - Florianópolis/SC    www.autodelas.com.br";https://www.webmotors.com.br/comprar/63524346
MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUTOMÁTICO;MITSUBISHI;ASX;2.0 4X4 AWD 16V GASOLINA 4P AUTOMÁTICO;2015;2016.0;116134.0;Automática;4;Utilitário esportivo;Prata;79890.0;Florianópolis;RB Motors;Aceita troca;Veículo revisado no mês 10/2025. Possui seu laudo cautelar APROVADO e conta com MANUAL + CHAVE RESERVA. O modelo possui Tração integral (AWD) oferece melhor aderência em piso escorregadio ou condições mais exigentes, bancos revestidos em couro, comando elétrico de bancos ao motorista, câmera de ré, multimídia, chave presencial, direção elétrica, retrovisores elétricos rodas de liga leve. VALOR DO VEÍCULO PARA VENDA À VISTA. Se você estiver interessado em obter uma avaliação para o seu seminovo ou simular taxas especiais, nos contate pela plataformas online, WhatsApp (48) 99138-2650, @rbmotors.sc ou visitando uma de suas lojas físicas. Reservamo-nos no direito de corrigir possíveis erros de digitação e publicação.;https://www.webmotors.com.br/comprar/63296960
CHEVROLET TRACKER 1.8 MPFI LTZ 4X2 16V FLEX 4P AUTOMÁTICO;CHEVROLET;TRACKER;1.8 MPFI LTZ 4X2 16V FLEX 4P AUTOMÁTICO;2015;2015.0;100000.0;Automática;4;Utilitário esportivo;Prata;66000.0;Florianópolis;Particular;IPVA pago, Licenciado;Possui central multimedia com Android Auto e Apple Car via Wifi.  Possui reboque.  Manutenções de 100.  000 realizadas e itens trocados.  Só pegar e andar nessa nave.  ;https://www.webmotors.com.br/comprar/64478037
LAND ROVER DISCOVERY SPORT 2.0 D180 TURBO DIESEL SE AUTOMÁTICO;LAND ROVER;DISCOVERY SPORT;2.0 D180 TURBO DIESEL SE AUTOMÁTICO;2019;2020.0;95829.0;Automática;4;Utilitário esportivo;Cinza;189500.0;Florianópolis;Particular;Aceita troca, Todas as revisões feitas pela agenda do carro, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;;https://www.webmotors.com.br/comprar/64093679
TOYOTA COROLLA 1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT;TOYOTA;COROLLA;1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT;2024;2024.0;45000.0;CVT;4;Sedã;Cinza;165000.0;Florianópolis;Particular;Todas as revisões feitas pela concessionária, Garantia de fábrica;Veicúlo top da categoria hibrido bancos em couro bicolor garantia de fabrica;https://www.webmotors.com.br/comprar/65012370
VOLKSWAGEN TAOS 1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;VOLKSWAGEN;TAOS;1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023;2023.0;38500.0;Automática;4;Utilitário esportivo;Cinza;154900.0;Florianópolis;Particular;Único dono, IPVA pago, Licenciado, Garantia de fábrica;Taos Highline Único Dono Park Assist Teto Solar Panorâmico (opcional de R$ 10k) Todas as revisões em concessionária Garantia de Fábrica até setembro/2026 Películas premium inclusive no parabrisa Rodas Aro 18 Última revisão realizada em Setembro com troca adicional do filtro de ar do motor e pastilhas de freio traseiras na concessionária (+ 1.  7k) ;https://www.webmotors.com.br/comprar/62291494
FIAT MOBI 1.0 EVO FLEX TREKKING MANUAL;FIAT;MOBI;1.0 EVO FLEX TREKKING MANUAL;2023;2024.0;12100.0;Manual;4;Hatchback;Branco;61800.0;Florianópolis;Particular;Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado, Garantia de fábrica;Fiat Mobi Trekking 1.  0 2024 Carro em Excelente Estado / Zero Único Dono de Particular .  Com Apenas 12.  100Km .  Carro na Garantia de Fabrica com Revisão Feita na Concessionária Phipassa Florianópolis / Capoeiras .  OBS : NÃO ACEITO TROCA! ;https://www.webmotors.com.br/comprar/65081893
FORD MAVERICK SUPER SEDAN 8 CILINDROS 12V GASOLINA 4P MANUAL;FORD;MAVERICK;SUPER SEDAN 8 CILINDROS 12V GASOLINA 4P MANUAL;1978;1978.0;82600.0;Manual;2;Sedã;Amarelo;580000.0;Florianópolis;Particular;Aceita troca, Licenciado;Maverick Super 1978 – Peça Raríssima | Projeto Premium By MHP Muscle Cars Mecânica 351 Cleveland com kit Stroker tudo forjado + Nitro, 600 CV Roda - 98KG Torque.  Carro diferenciado, único no Brasil nesta configuração com os lendários cabeçotes 4V e câmbio T56 Magnum 6 marchas.  Carro impecável, em dia, motor cadastrado, plaqueta original na porta e com uma característica bem rara e curiosa, de plaqueta a interna originalmente é de cor azul, muito rara de se encontrar em outros Maverick Carro com ar condicionado, vidro elétrico na manivela original, trava, alarme, Line Lock, 3 Step, injeção sequencial Fuel Tech FT550 entre muitos outros upgrades.  Mais informações de tudo que possui entre em contato.  ;https://www.webmotors.com.br/comprar/65175939
TOYOTA HILUX SW4 3.0 SRV 4X4 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO;TOYOTA;HILUX SW4;3.0 SRV 4X4 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO;2014;2015.0;125900.0;Automática;4;Utilitário esportivo;Preto;155900.0;Florianópolis;Particular;IPVA pago;Carro de uso Famíliar .  Excelente estado de conservação .  Laudo cautelar 100% aprovado .  ;https://www.webmotors.com.br/comprar/64933443
HONDA HR-V 1.5 DI I-VTEC TURBO FLEX TOURING CVT;HONDA;HR-V;1.5 DI I-VTEC TURBO FLEX TOURING CVT;2024;2025.0;65000.0;CVT;0;Utilitário esportivo;Azul;181000.0;Florianópolis;Particular;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, Garantia de fábrica;Ano 2024/2025 Único dono Pneus novos Pirelli Scorpion Película 3M em todos os vidros Pastilhas e discos de freios novos (12/25) Interior em excelente estado Revisões em dia, todas realizadas na concessionária Honda.  ;https://www.webmotors.com.br/comprar/64987052
LAND ROVER DISCOVERY SPORT 2.0 16V SI4 TURBO GASOLINA HSE 4P AUTOMÁTICO;LAND ROVER;DISCOVERY SPORT;2.0 16V SI4 TURBO GASOLINA HSE 4P AUTOMÁTICO;2015;2015.0;126750.0;Automática;4;Utilitário esportivo;Cinza;99900.0;Florianópolis;Particular;Único dono, Todas as revisões feitas pela concessionária, IPVA pago;;https://www.webmotors.com.br/comprar/64863682
TOYOTA COROLLA 1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT;TOYOTA;COROLLA;1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT;2022;2023.0;62000.0;CVT;4;Sedã;Preto;149000.0;Florianópolis;Particular;Aceita troca, Único dono, Licenciado;;https://www.webmotors.com.br/comprar/65254663
AUDI A3 1.4 TFSI SEDAN ATTRACTION 16V FLEX 4P TIPTRONIC;AUDI;A3;1.4 TFSI SEDAN ATTRACTION 16V FLEX 4P TIPTRONIC;2018;2018.0;67176.0;Automática;4;Sedã;Preto;93500.0;Florianópolis;Particular;IPVA pago, Licenciado;*AUDI A3 SEDAN ATTRACTION 1.  4 TFSI FLEX* 2018 67.  000 km IPVA 2026 pago Pneus dianteiros novos Películas 3M Bancos de couro Interna preto ;https://www.webmotors.com.br/comprar/65282680
LAND ROVER FREELANDER 2 2.2 SE SD4 16V TURBO DIESEL 4P AUTOMÁTICO;LAND ROVER;FREELANDER 2;2.2 SE SD4 16V TURBO DIESEL 4P AUTOMÁTICO;2014;2015.0;115000.0;Automática;4;Utilitário esportivo;Preto;77000.0;Florianópolis;Particular;IPVA pago, Licenciado;Carro muito bem cuidado, todo revisado.  l.  O carro está lindo, por dentro e por fora.  Acabei de trocar bateria, correia dentada, bandeja, manutenção em dia em mecânica de confiança.  Interior muito conservado.  Não aceito troca, so Venda.  ;https://www.webmotors.com.br/comprar/53096721
JEEP COMPASS 1.3 T270 TURBO FLEX LONGITUDE AT6;JEEP;COMPASS;1.3 T270 TURBO FLEX LONGITUDE AT6;2023;2023.0;34000.0;Automática;4;Utilitário esportivo;Preto;135000.0;Florianópolis;Particular;Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado, Garantia de fábrica;;https://www.webmotors.com.br/comprar/65194225
HYUNDAI HB20 1.0 TGDI FLEX EVOLUTION AUTOMÁTICO;HYUNDAI;HB20;1.0 TGDI FLEX EVOLUTION AUTOMÁTICO;2020;2021.0;55000.0;Automática;4;Hatchback;Prata;73900.0;Florianópolis;Particular;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, IPVA pago;Estado de carro novo! Único dono.  Todas as revisões feitas em concessionária.  Pneus novos recém trocados.  Película original de proteção no painel.  Veículo extremamente conservado, muito bem cuidado e com histórico completo de manutenção.  Modelo automático, econômico, confortável e confiável.  Documentação em dia, pronto para transferência.  Carro diferenciado para quem busca procedência e excelente estado de conservação.  ;https://www.webmotors.com.br/comprar/65200604
JEEP WRANGLER 3.8 UNLIMITED SPORT 4X4 V6 12V GASOLINA 4P AUTOMATICO;JEEP;WRANGLER;3.8 UNLIMITED SPORT 4X4 V6 12V GASOLINA 4P AUTOMATICO;2011;2011.0;132000.0;Automática;4;Utilitário esportivo;Laranja;179000.0;Florianópolis;Particular;Aceita troca, IPVA pago, Licenciado;"Jeep Wrangler Super bem cuidado.  Mecânica, lataria e interior em ótimo estado.  Pneus novos, lift de suspensão de 2"".  Rodas especiais e acompanham também as rodas originais.  Multimídia com Apple car play bluetooth.  ";https://www.webmotors.com.br/comprar/65023628
HONDA HR-V 1.8 16V FLEX LX 4P AUTOMÁTICO;HONDA;HR-V;1.8 16V FLEX LX 4P AUTOMÁTICO;2016;2016.0;95350.0;CVT;4;Utilitário esportivo;Cinza;88900.0;Florianópolis;Particular;Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, Licenciado;Honda HR-V 2016/2016 - Único dono - Completo - Revisões na HONDA OPORTUNIDADE! Hunda HR-V comprado na HIT HONDA em Florianópolis, único dono, muito bem conservado, 95.  350KM, todas as revisões feitas na concessionária com manual carimbado.  - Nunca batido - Sem detalhes - Manual do proprietário + Chave Reserva - Última revisão em julho/25 completa - Carro particular, quitado e sem restrições Raríssimo de encontrar nesse estado (novo).  SOMENTE VENDA - Não aceito trocas OBS: Compra de outro carro.  ;https://www.webmotors.com.br/comprar/65034273
BMW 318i 1.8 COMPACT 16V GASOLINA 2P MANUAL;BMW;318i;1.8 COMPACT 16V GASOLINA 2P MANUAL;1995;1995.0;156710.0;Manual;2;Hatchback;Preto;43500.0;Florianópolis;Particular;Aceita troca, IPVA pago, Licenciado;;https://www.webmotors.com.br/comprar/65236008
SSANGYONG ACTYON 2.3 GL 4X2 16V 150CV GASOLINA 4P AUTOMÁTICO;SSANGYONG;ACTYON;2.3 GL 4X2 16V 150CV GASOLINA 4P AUTOMÁTICO;2009;2010.0;220000.0;Automática;4;Utilitário esportivo;Preto;27900.0;Florianópolis;Particular;Único dono, IPVA pago, Licenciado;Vendo SsangYong Actyon 2010, motor 2.  3 16V gasolina, câmbio automático, na cor preta, em excelente estado de conservação para o ano e km.  ? Estado geral: 8/10 ? Pneus, pintura e interior: 8/10 ? 220.  000 km ? Manutenções em dia com notas Destaque importante: ?? Fluido do câmbio automático trocado em 2025 (com comprovante) – carro pronto para uso, sem surpresas.  SUV confortável, espaçoso, com ótima posição de dirigir e mecânica confiável.  Ideal para quem busca um veículo automático com excelente custo-benefício.  ?? Florianópolis – SC ?? Documentação em dia, sem débitos.  ;https://www.webmotors.com.br/comprar/65168018
FIAT ARGO 1.3 FIREFLY FLEX TREKKING CVT;FIAT;ARGO;1.3 FIREFLY FLEX TREKKING CVT;2024;2024.0;29000.0;CVT;4;Hatchback;Vermelho;88000.0;Florianópolis;Particular;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Alienado, Licenciado, Garantia de fábrica;Financiado;https://www.webmotors.com.br/comprar/58778659
VOLVO XC60 2.0 T8 RECHARGE PLUS AWD GEARTRONIC;VOLVO;XC60;2.0 T8 RECHARGE PLUS AWD GEARTRONIC;2022;2023.0;70000.0;Automática;4;Utilitário esportivo;Preto;249900.0;Florianópolis;Particular;Aceita troca, Único dono, IPVA pago, Licenciado;Carro único dono rodas de liga aro 22 e tem mais um jogo de aro 22 liga leve original volvo.  WhatsApp 48 99140-6150 ;https://www.webmotors.com.br/comprar/65264863
BYD DOLPHIN 60,5 KW ELÉTRICO PLUS;BYD;DOLPHIN;60,5 KW ELÉTRICO PLUS;2023;2024.0;35000.0;Automática;4;Hatchback;Cinza;144900.0;Florianópolis;Particular;Único dono, Todas as revisões feitas pela concessionária;;https://www.webmotors.com.br/comprar/65235898
VOLKSWAGEN SAVEIRO 1.6 MI STARTLINE CS 8V FLEX 2P MANUAL;VOLKSWAGEN;SAVEIRO;1.6 MI STARTLINE CS 8V FLEX 2P MANUAL;2015;2016.0;102000.0;Manual;2;Picape;Branco;30000.0;Florianópolis;Particular;;"Saveiro super conservada, baixa Km ""original"" para o ano, pouco utilizada para entregas, interna impecável, motor ok, revisões feitas periodicamente, completa, aro 15 e pneus novos, valor R$ 30.  000,00 mais assumir parcelas R$ 720,00 consórcio.  ";https://www.webmotors.com.br/comprar/65147905
FIAT PALIO 1.0 MPI FIRE ECONOMY 8V FLEX 2P MANUAL;FIAT;PALIO;1.0 MPI FIRE ECONOMY 8V FLEX 2P MANUAL;2013;2013.0;202647.0;Manual;2;Hatchback;Branco;23000.0;Florianópolis;Particular;Aceita troca, IPVA pago, Licenciado;;https://www.webmotors.com.br/comprar/64645859
VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL;VOLKSWAGEN;GOL;1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL;2017;2017.0;130000.0;Manual;4;Hatchback;Prata;47900.0;Florianópolis;Particular;Todas as revisões feitas pela concessionária, IPVA pago;;https://www.webmotors.com.br/comprar/65012237
PORSCHE 718 2.0 16V H4 GASOLINA BOXSTER STYLE EDITION PDK;PORSCHE;718;2.0 16V H4 GASOLINA BOXSTER STYLE EDITION PDK;2023;2023.0;8500.0;Automática;2;Conversível;Branco;559000.0;Florianópolis;Particular;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, Garantia de fábrica;Veículo com 100 mil em acessórios ;https://www.webmotors.com.br/comprar/50419538
VOLKSWAGEN T-CROSS 1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;VOLKSWAGEN;T-CROSS;1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023;2024.0;50000.0;Automática;0;Utilitário esportivo;Branco;134900.0;Florianópolis;Particular;Todas as revisões feitas pela agenda do carro, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado, Garantia de fábrica;Garantia até outubro de 2026.  Carro muito ecônomico (média 12 na cidade e 17 na rodovia com gasolina).  Pintura original.  Nenhuma batida.  Opcionais incluídos: Teto solar, Antena tubarão, Protetor porta malas, Tapete vinílico sob medida, Bicolor (teto preto).  **As fotos do carrão foram tiradas na concessionária, mas é venda de particular.  ** ;https://www.webmotors.com.br/comprar/60614150
BMW 430i 2.0 16V GASOLINA CABRIO M SPORT STEPTRONIC;BMW;430i;2.0 16V GASOLINA CABRIO M SPORT STEPTRONIC;2021;2022.0;50000.0;Automática;2;Conversível;Preto;369000.0;Florianópolis;Particular;Aceita troca;;https://www.webmotors.com.br/comprar/64949088
MERCEDES-BENZ A 35 AMG 2.0 CGI GASOLINA LAUNCH EDITION 4MATIC 7G-DCT;MERCEDES-BENZ;A 35 AMG;2.0 CGI GASOLINA LAUNCH EDITION 4MATIC 7G-DCT;2020;2020.0;73000.0;Automática;4;Hatchback;Branco;286000.0;Florianópolis;Particular;;Mercedes-Benz A35 AMG, segundo dono, extremamente conservada.  Revisões realizadas em concessionária até 50.  000 km.  Laudo cautelar 100% aprovado.  Carro sem batidas, sem passagem por leilão, sem retoques de pintura, vidros todos originais, e nunca feito remap.  Carro é lacrado e pra quem realmente gosta ;https://www.webmotors.com.br/comprar/64978590
HONDA ZR-V 2.0 i-VTEC GASOLINA CVT;HONDA;ZR-V;2.0 i-VTEC GASOLINA CVT;2023;2024.0;26000.0;CVT;0;Utilitário esportivo;Branco;158000.0;Florianópolis;Particular;Aceita troca, Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, Alienado, Garantia de fábrica;ZRV Super novo, única dona;https://www.webmotors.com.br/comprar/55361739
VOLKSWAGEN KOMBI 1.6 STD 8V GASOLINA 3P MANUAL;VOLKSWAGEN;KOMBI;1.6 STD 8V GASOLINA 3P MANUAL;1986;1986.0;87000.0;Manual;3;Van/Utilitário;Cinza;80000.0;Florianópolis;Particular;Aceita troca;VW Kombi 1986 Azul | Placa Preta | Exemplar de Coleção Apresento esta VW Kombi 1986, na elegante cor azul, totalmente restaurada com extremo cuidado, mantendo originalidade, acabamento refinado e excelente padrão de conservação.  Um exemplar raro, pronto para quem busca história, charme e confiabilidade.  ? Placa preta ? Lataria vitrificada com Nasiol, garantindo brilho e proteção prolongada ? Mecânica revisada, sem detalhes ? Pneus Cargo novos ? Som original San Francisco com Bluetooth, preservando a estética clássica ? Tapeçaria interna luxo, impecável ? Cortinas internas, agregando conforto e estilo ? Documentação rigorosamente em dia Veículo pronto para viagens, passeios ou acervo, sem necessidade de qualquer investimento adicional.  Difícil encontrar outra Kombi neste nível de preservação.  Valor: R$ 80.  000 Disponível para qualquer tipo de vistoria.  ;https://www.webmotors.com.br/comprar/65227315
TOYOTA ETIOS 1.5 XS 16V FLEX 4P MANUAL;TOYOTA;ETIOS;1.5 XS 16V FLEX 4P MANUAL;2015;2016.0;128325.0;Manual;4;Hatchback;Prata;48000.0;Florianópolis;Particular;Único dono;Venda Direta Proprietário ;https://www.webmotors.com.br/comprar/65123518
LAND ROVER DISCOVERY 4 3.0 S 4X4 V6 24V BI-TURBO DIESEL 4P AUTOMÁTICO;LAND ROVER;DISCOVERY 4;3.0 S 4X4 V6 24V BI-TURBO DIESEL 4P AUTOMÁTICO;2013;2013.0;124150.0;Automática;4;Utilitário esportivo;Branco;87900.0;Florianópolis;Particular;Aceita troca, IPVA pago, Licenciado;Revisada, Pneus Novos, Excelente Estado! Ano: 2013 Motor: 3.  0 Turbo Diesel Tração: 4x4 Câmbio: Automático Quilometragem: 124,150 km Cor: Branca Preço: R$ 87,900 Veículo muito bem conservado, nada a fazer Revisada recentemente (óleo e filtros trocados em 05/10/2025) 4 pneus novos, instalados em 17/10/2025 Chave reserva e manual de revisões até 65.  000 km em concessionária Baixa quilometragem para o ano Interior preto em ótimo estado Potência e conforto do motor 3.  0 Turbo Diesel 4x4 48991034166 ;https://www.webmotors.com.br/comprar/63218436
LAND ROVER RANGE ROVER SPORT 3.0 HSE 4X4 V6 24V TURBO DIESEL 4P AUTOMÁTICO;LAND ROVER;RANGE ROVER SPORT;3.0 HSE 4X4 V6 24V TURBO DIESEL 4P AUTOMÁTICO;2015;2015.0;157700.0;Automática;4;Utilitário esportivo;Preto;154900.0;Florianópolis;Particular;Aceita troca, Único dono, IPVA pago, Licenciado;Destaques do veículo Versão HSE, uma das mais completas Motor 3.  0 V6 Bi-Turbo Diesel de alto desempenho Câmbio automático de 8 marchas Suspensão a ar com ajustes de altura Tração integral inteligente Terrain Response Interior premium com acabamento sofisticado Rodas de liga leve aro 20/21 (conforme versão) ? Equipamentos e tecnologia Teto panorâmico Ar-condicionado digital dual zone Bancos elétricos com memória Central multimídia com GPS, Bluetooth e câmera de ré Som Meridian ;https://www.webmotors.com.br/comprar/63762362
TROLLER T4 3.2 BOLD 4X4 20V TURBO INTERCOOLER DIESEL 2P MANUAL;TROLLER;T4;3.2 BOLD 4X4 20V TURBO INTERCOOLER DIESEL 2P MANUAL;2017;2017.0;71000.0;Manual;0;Utilitário esportivo;Cinza;165000.0;Florianópolis;Particular;IPVA pago, Licenciado;SÓ ESSA SEMANA! !!! RARIDADE, Vendo Troller T4 Bold 2017 em perfeito estado de conservação.  Com apenas 70.  000 km.  Veículo de uso pessoal, sem trilhas, ideal para quem busca um 4x4 robusto e confiável.  Última versão com motor 3.  2 de 200cv.  Possui todos os itens de fábrica, snorkel, multimídia, câmera de ré, lanternas de LED, etc.  ;https://www.webmotors.com.br/comprar/63612893
LAND ROVER RANGE ROVER EVOQUE 2.0 16V SI4 GASOLINA SE DYNAMIC 4WD AUTOMÁTICO;LAND ROVER;RANGE ROVER EVOQUE;2.0 16V SI4 GASOLINA SE DYNAMIC 4WD AUTOMÁTICO;2018;2018.0;71000.0;Automática;4;Utilitário esportivo;Cinza;134000.0;Florianópolis;Particular;Único dono, IPVA pago, Licenciado;;https://www.webmotors.com.br/comprar/64274980
BMW X1 2.0 16V TURBO ACTIVEFLEX SDRIVE20I X-LINE 4P AUTOMÁTICO;BMW;X1;2.0 16V TURBO ACTIVEFLEX SDRIVE20I X-LINE 4P AUTOMÁTICO;2017;2018.0;117000.0;Automática;4;Utilitário esportivo;Branco;110000.0;Florianópolis;Particular;Todas as revisões feitas pela agenda do carro, Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;Veículo em ótimo estado e com todas as revisões realizadas em concessionária.  Única dona, carro de não fumante e com rodas de liga leve.  Ideal para quem busca sofisticação, robustez e confiabilidade.  ;https://www.webmotors.com.br/comprar/62653208
MERCEDES-BENZ C 250 2.0 CGI SPORT TURBO 16V GASOLINA 4P AUTOMÁTICO;MERCEDES-BENZ;C 250;2.0 CGI SPORT TURBO 16V GASOLINA 4P AUTOMÁTICO;2015;2015.0;150000.0;Automática;4;Sedã;Preto;119900.0;Florianópolis;Particular;Alienado, Licenciado;Mercedes-Benz C250 2015, 2.  0 Turbo 211cv, câmbio 7 marchas, teto solar panorâmico, bancos de couro elétricos com memória, central multimídia, som premium, rodas AMG 18”, piloto automático e sensores.  147.  500 km, revisões em dia, manual e chave reserva.  Sedan premium, potente, elegante e pronto para rodar.  Valor para venda à vista.  ;https://www.webmotors.com.br/comprar/60889690
